Date,Hour,temp,rel_hum,rain,V2 Flag,Hops Cum. Index,Hops Powdery Mildew Risk,,,,
Jan 01 2012,0, , ,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,1, , ,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,2,33.9,87.7,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,3,32,80.8,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,4,30.8,75.3,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,5,30,74.1,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,6,29.8,69.7,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,7,27.8,71.6,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,8,26.9,73.1,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,9,26.9,68.4,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,10,26.6,68.3,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,11,27,71.2,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,12,27.1,68.4,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,13,28.2,66.4,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,14,26.9,72,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,15,28.1,67.2,0, ,,Low Powdery Mildew Risk,,,,
Jan 01 2012,16,26.9,62.9,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,17,24.9,61.9,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,18,23.9,62.6,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,19,22.6,66.5,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,20,19.7,66,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,21,19.2,67.4,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,22,19.1,67.4,0, ,0,Low Powdery Mildew Risk,,,,
Jan 01 2012,23,19.9,67.2,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,0,19.9,64.8,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,1,19.9,65.5,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,2,19.9,70.1,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,3,19.9,64.8,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,4,19.9,64.2,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,5,19.8,59.9,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,6,18.1,75.6,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,7,16.9,62,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,8,16,66.7,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,9,16,64.6,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,10,16.1,66.6,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,11,17.1,63.6,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,12,17.2,61,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,13,18,59,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,14,18.1,58.7,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,15,19,56,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,16,19,53.3,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,17,18.8,51.9,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,18,16.8,59,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,19,14.9,63.3,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,20,14,61.4,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,21,13.9,62,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,22,12.9,66.6,0, ,0,Low Powdery Mildew Risk,,,,
Jan 02 2012,23,12.8,66.9,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,0,12.1,69.4,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,1,12.8,71.2,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,2,13.1,73.4,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,3,13.9,72.5,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,4,12.9,73.1,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,5,12.7,71.2,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,6,10.9,80,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,7,11.1,76,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,8,11.9,72.8,0, ,0,Low Powdery Mildew Risk,,,,
Jan 03 2012,9,11.1,72.6,0, ,0,Low Powdery Mildew Risk,,,,
